569	Simply Transit Ltd	3
572	MANDA	4
573	www.funknetz.at MH GmbH	1
576	Akamai Prolexic DDoS Mitigation	28
577	Sprint	7
578	London Internet Exchange (LINX)	2
580	NetConnex	3
582	NetNation Communications Inc.	2
584	IP2 Internet B.V.	2
585	Elisa Corporation	13
589	iomart - Asia/Middle East	1
590	QSC AG Niederlassung Nuernberg	2
596	EDPNET	6
598	Docomo Pacific	5
599	domainfactory GmbH	3
600	Hudson Digital	1
601	M247 Ltd	26
604	EVONET Belgium NV	1
607	Clouditalia Telecomunicazioni	6
609	GARR	5
613	Kcom SPN	3
614	iunxi BV	2
617	regio[.NET]	6
618	l.root-servers.net	21
620	Telxius Cable	3
621	RIPE NCC RIS Project	22
627	Walmart.com	2
629	TWDX IP	3
635	Probe Networks	2
637	InterServer, Inc	1
645	Intercom s.r.l.	2
648	Electric Lightwave	10
657	NIX.CZ, z.s.p.o.	2
660	CESNET	2
662	Bahnhof	11
663	Nexicom Inc.	11
668	SpeedPartner GmbH	2
670	AT&T EMEA - AS2686	12
671	AT&T AP - AS2687	10
672	AT&T Canada - AS2685	1
673	AT&T LA - AS2688	2
678	LeaseWeb Network	26
680	Catalyst2 Services Ltd	2
681	iway AG	2
683	Broadcasting Center Europe (BCE pop in France)	1
684	1&1 Versatel Deutschland GmbH	5
690	Internet Initiative Japan Inc. (IIJ)	15
694	Microsoft	132
700	Base IP B.V.	2
702	Enter	10
705	Neustar	1
709	Nianet A/S	6
710	Public Internet Ltd	3
711	NTS Workspace AG	2
712	Your.Org, Inc.	1
713	iiNet	16
716	Wildcard Networks	2
719	hSo Group	10
721	TalkTalk	9
722	SwissIX Route Servers	1
724	One Ring Networks	1
725	Liquid Telecommunications	14
729	Vermont Telephone	2
730	China Unicom	2
731	Jaguar Network SAS	15
733	Neuronnexion	10
737	Association Gitoyen	8
743	NMMN New Media Markets & Networks IT-Services GmbH	2
746	Galaxy Multimedia PLC	1
747	NTT DATA Services - HCLS Cloud	4
751	TELE2	13
763	Emirates Telecommunications Corporation (Etisalat)	26
772	Open Systems AG	2
780	V-Com Openpath	2
781	toplink GmbH	1
783	Concepts ICT Holding B.V.	2
784	ComX Networks	1
785	Softnet	7
789	XMission	3
791	TWGate	10
792	Amsio B.V.	1
793	NovoServe B.V.	5
794	i-Netboys	1
798	SOLCON	4
800	NerdNet	1
801	InterBox Internet	4
805	NedZone Internet BV	4
807	Mevershosting.nl	1
810	Uniserver Internet BV	2
812	BIT/FOITT	3
813	Choopa, LLC	12
816	Sonic.net, Inc.	2
817	Witbe	8
818	Lidero Network	4
821	Open Peering	17
823	TeleData GmbH	5
825	M-ROOT DNS Server	14
826	NTT Communications Corporation (OCN)	3
827	MuntInternet	1
831	WIDE Project	2
832	MultaCOM	1
834	Altecom (Alta Tecnologia en Comunicacions, S.L.)	3
835	Global Radio	2
837	Six Degrees - Datahop (6DG)	9
839	Bredband2	2
843	B2B2C Inc	1
847	UnitedLayer LLC	1
849	Net at Once AB	5
852	Pilosoft Inc.	1
853	Spark NZ	7
854	OpenDNS, Inc.	33
855	Bayan Telecommunications Inc.	6
856	RGnet	2
857	MTN South Africa	8
861	Unwired	6
865	digg.com	1
868	Hypermedia Systems	1
871	NationalNet, Inc.	2
873	Verisign	11
875	C2 Internet	3
877	Extraordinary Managed Services	2
878	Nebula Oy	2
883	PoBox Hosting Ltd	1
885	Florida LambdaRail LLC	3
890	Cogeco Peer1	19
891	Cablesurf	2
893	Exponential-e Ltd	9
901	Singapore Telecommunications Limited	6
906	CacheFly	9
911	Freethought Internet Limited	4
913	Numericable	3
914	QSC AG	7
916	Equinix Connect	7
917	LS Networks	3
919	Neopolitan Networks, Inc.	1
923	UCAID	1
924	Southern Crossroads (SoX)	3
926	AMPATH	2
928	Merit Network	3
931	NERO Network	3
932	NTI	1
933	Pulsant	1
934	Los Nettos	3
937	Internet2 TransitRail	9
939	Fiber Internet Center	5
940	Energy Sciences Network (ESnet)	7
941	Aixit GmbH	1
942	AS250.net Foundation	9
944	Democratic National Committee	1
946	UberGlobal Pty Ltd	2
947	DE-CIX Frankfurt Route Servers	1
949	Comflex Networks ApS	1
950	eircom Ltd	7
951	Telegraaf Media ICT BV.	1
953	Centauri Communications	1
956	Ipercast	1
959	Seeweb	6
961	Janet	4
965	NETPLANET GmbH	2
967	Magnet Networks	4
971	KHEOPS Organisation	2
972	Blacknight Internet Solutions Ltd	7
975	mmc kommunikationstechnologie gmbh	1
976	iomart	3
979	Facebook Inc	96
981	OpenCarrier eG	7
983	Mobile TeleSystems PJSC	14
984	Free Software Foundation, Inc.	1
986	IT.Gate	9
996	ICANN	4
997	Vodafone Kabel Deutschland GmbH	8
1001	Proximus	1
1004	HOSTWAY Deutschland GmbH	1
1005	Panservice	3
1006	Duodecad IT Services	13
1007	myLoc managed IT AG	10
1008	UK Broadband	2
1014	Bezeq International	7
1017	NIC.BR	1
1020	Maverick	1
1021	Interoute Managed Services Sweden AB	1
1022	KDDI	10
1023	SpaceDump IT AB	3
1024	Icefrost/XHOP	1
1032	Thus PLC	3
1035	Trit Networks	1
1036	CBS Interactive	1
1040	Zillow Group	1
1042	Clearleap	1
1045	NTT Communications (Global)	12
1046	IPTP Networks	38
1048	Savage Communications Inc.	1
1049	45RU HostAway	1
1050	NUS Gigapop	3
1056	Biznet Networks	15
1057	KTHNOC	1
1062	StarHub (as4657)	9
1065	senseLAN	1
1066	CITIC Telecom CPC Netherlands B.V.	12
1067	Computerline Group	7
1071	Madison Tyler, LLC	2
1080	Oxymium	7
1081	Link11 GmbH	6
1082	SNI	4
1086	Dailymotion	12
1087	Pixelpark GmbH	1
1089	ISPnet, Inc.	2
1091	Access Integrated Technologies (Ezzi.net)	1
1093	Telepacific Wireless , Inc. (formerly Covad Wireless).	3
1097	TMHK	1
1098	MESH GmbH	4
1100	Salesforce.com	21
1101	FidoNet	4
1102	ClearIP	1
1108	IDNet	7
1111	ISC	53
1112	Associated Networks (UK) Ltd	3
1113	Kingston Communications PLC	3
1118	Applied Operations	1
1122	NTT Communications - NTT Singapore	1
1124	RTLNederland Interactief B.V	3
1125	HeLi NET Telekommunikation	4
1126	comtrance GmbH	2
1128	SUPINFO Global Network	1
1132	Neutral Data	4
1133	Easy Online Solutions, Ltd.	4
1134	VPLS, Inc.	4
1136	5NINES, LLC	3
1138	DNS:NET Internet Service GmbH	2
1141	GHOSTnet GmbH	1
1144	Ironpath Network Inc	3
1153	INTERNET AG Global Network	1
1156	Neowiz Corp.	1
1158	Quasi Networks LTD	1
1159	FreiNet GmbH	1
1162	Inclarity	1
1163	Kantonsschule Zug	7
1164	Cablecom Networking	6
1170	BelWue	4
1171	Bhutan Telecom Ltd	3
1174	NoaNet	2
1176	Threshold Communications 1	2
1177	Cascade Technology Alliance	1
1182	Corporate West (Netmagic)	2
1183	Suddenlink Communications	4
1185	Columbus Networks	3
1186	Zattoo	3
1189	DTS Systeme GmbH	1
1190	Scarlet Curacao	3
1191	Cortland Communications	1
1192	Manx Telecom Ltd	4
1193	ISPpro Internet KG	1
1197	A1 Telekom Austria AG	4
1198	Clearwire	3
1199	Adtaq Internet	1
1201	equada network GmbH	4
1202	InterNetWire Communications GmbH	1
1204	Telia Lietuva, AB	5
1208	Cutting Edge Communications	1
1210	Atmosera	1
1213	Fusionstorm	1
1216	Metapeer, Inc.	1
1217	TierPoint Seattle	1
1218	We Dare	1
1219	SpriteLink International Carrier	1
1221	Symantec (EMEA)	17
1222	BendTel	3
1223	STRATO AG	10
1224	meerfarbig GmbH & Co. KG	1
1225	TerraTransit AG	1
1227	Accelerated IT Services GmbH	1
1234	Zenlayer Inc	20
1236	Viatel Ltd	8
1237	OXEVA	2
1238	iRis Networks	3
1240	Plus.line AG	2
1241	Euronet Communications B.V.	2
1242	TELECOM ARGENTINA	1
1243	Nuclearfallout Enterprises, Inc.	2
1247	Neovera, Inc.	1
